,nasdaq_t100,short_term_rates,long_term_rates,dollar_index,vix_index,Laid_Off_Count
2020-03-02,5314.009765625,1.10,1.10,97.36000061035156,33.41999816894531,0.0
2020-03-03,5138.990234375,0.93,1.02,97.1500015258789,36.81999969482422,391.0
2020-03-04,5367.52978515625,0.71,1.02,97.33999633789062,31.989999771118164,200.0
2020-03-05,5197.419921875,0.61,0.92,96.81999969482422,39.619998931884766,0.0
2020-03-06,5086.419921875,0.45,0.74,95.94999694824219,41.939998626708984,46.0
2020-03-09,4690.85986328125,0.32,0.54,94.9000015258789,54.459999084472656,0.0
2020-03-10,4928.08984375,0.43,0.76,96.41000366210938,47.29999923706055,0.0
2020-03-11,4694.43017578125,0.41,0.82,96.51000213623047,53.900001525878906,75.0
2020-03-12,4229.47021484375,0.33,0.88,97.47000122070312,75.47000122070312,20.0
2020-03-13,4660.580078125,0.27,0.94,98.75,57.83000183105469,14.0
2020-03-16,4043.340087890625,0.24,0.73,98.08999633789062,82.69000244140625,175.0
2020-03-17,4373.6201171875,0.19,1.02,99.58000183105469,75.91000366210938,0.0
2020-03-18,4072.60009765625,0.02,1.18,101.16000366210938,76.44999694824219,4.0
2020-03-19,4178.2900390625,0.04,1.12,102.76000213623047,72.0,487.0
2020-03-20,4030.77001953125,0.05,0.92,102.81999969482422,66.04000091552734,956.0
2020-03-23,4091.4599609375,0.02,0.76,102.48999786376953,61.59000015258789,847.0
2020-03-24,4478.830078125,0.01,0.84,101.73999786376953,61.66999816894531,938.0
2020-03-25,4441.509765625,-0.04,0.88,101.05000305175781,63.95000076293945,1213.0
2020-03-26,4726.8798828125,-0.05,0.83,99.41999816894531,61.0,793.0
2020-03-27,4502.7001953125,0.03,0.72,98.37000274658203,65.54000091552734,3541.0
2020-03-30,4687.47998046875,0.12,0.70,99.18000030517578,57.08000183105469,3272.0
2020-03-31,4606.7099609375,0.11,0.70,99.05000305175781,53.540000915527344,2408.0
2020-04-01,4378.75,0.09,0.62,99.66999816894531,57.060001373291016,1223.0
2020-04-02,4459.009765625,0.09,0.63,100.18000030517578,50.90999984741211,2733.0
2020-04-03,4378.89990234375,0.10,0.62,100.58000183105469,46.79999923706055,2208.0
2020-04-06,4783.16015625,0.15,0.67,100.69000244140625,45.2400016784668,6581.0
2020-04-07,4757.9501953125,0.14,0.75,99.9800033569336,46.70000076293945,4654.0
2020-04-08,4905.419921875,0.22,0.77,100.12000274658203,43.349998474121094,1994.0
2020-04-09,4872.0400390625,0.25,0.73,99.5199966430664,41.66999816894531,2308.0
2020-04-13,4892.85009765625,0.26,0.76,99.3499984741211,41.16999816894531,3498.0
2020-04-14,5095.81982421875,0.20,0.76,98.88999938964844,37.7599983215332,634.0
2020-04-15,4992.7099609375,0.14,0.63,99.45999908447266,40.84000015258789,2034.0
2020-04-16,5086.8798828125,0.14,0.61,100.02999877929688,40.11000061035156,493.0
2020-04-17,5156.759765625,0.12,0.65,99.77999877929688,38.150001525878906,2002.0
2020-04-20,5076.43017578125,0.12,0.63,99.95999908447266,43.83000183105469,801.0
2020-04-21,4856.7998046875,0.11,0.58,100.26000213623047,45.40999984741211,2143.0
2020-04-22,5079.41015625,0.12,0.63,100.38999938964844,41.97999954223633,1414.0
2020-04-23,5035.2099609375,0.11,0.61,100.43000030517578,41.380001068115234,572.0
2020-04-24,5134.990234375,0.12,0.60,100.37999725341797,35.93000030517578,355.0
2020-04-27,5198.7998046875,0.12,0.67,100.04000091552734,33.290000915527344,1089.0
2020-04-28,5125.77001953125,0.11,0.62,99.87000274658203,33.56999969482422,1956.0
2020-04-29,5338.009765625,0.10,0.63,99.56999969482422,31.229999542236328,1716.0
2020-04-30,5234.0,0.09,0.64,99.0199966430664,34.150001525878906,460.0
2020-05-01,4999.580078125,0.12,0.64,98.80000305175781,37.189998626708984,695.0
2020-05-04,5048.18017578125,0.13,0.64,99.4800033569336,35.970001220703125,2402.0
2020-05-05,5140.9501953125,0.13,0.66,99.70999908447266,33.61000061035156,3350.0
2020-05-06,5186.009765625,0.12,0.72,100.08999633789062,34.119998931884766,4166.0
2020-05-07,5245.1298828125,0.11,0.63,99.88999938964844,31.440000534057617,1074.0
2020-05-08,5355.31982421875,0.12,0.69,99.7300033569336,27.979999542236328,9.0
2020-05-11,5366.33984375,0.12,0.73,100.23999786376953,27.56999969482422,88.0
2020-05-12,5236.08984375,0.13,0.69,99.93000030517578,33.040000915527344,1636.0
2020-05-13,5124.93994140625,0.13,0.64,100.23999786376953,35.279998779296875,950.0
2020-05-14,5225.56982421875,0.12,0.63,100.47000122070312,32.61000061035156,567.0
2020-05-15,5193.2099609375,0.12,0.64,100.4000015258789,31.889999389648438,1065.0
2020-05-18,5366.8798828125,0.13,0.73,99.66999816894531,29.299999237060547,6202.0
2020-05-19,5370.009765625,0.13,0.70,99.37000274658203,30.530000686645508,579.0
2020-05-20,5513.5,0.12,0.68,99.12000274658203,27.989999771118164,2173.0
2020-05-21,5432.77001953125,0.12,0.68,99.37000274658203,29.530000686645508,588.0
2020-05-22,5453.2998046875,0.12,0.66,99.86000061035156,28.15999984741211,21.0
2020-05-26,5493.2001953125,0.14,0.69,98.91000366210938,28.010000228881836,787.0
2020-05-27,5547.10009765625,0.15,0.68,99.05999755859375,27.6200008392334,212.0
2020-05-28,5499.2099609375,0.15,0.70,98.37999725341797,28.59000015258789,745.0
2020-05-29,5619.85986328125,0.14,0.65,98.33999633789062,27.510000228881836,94.0
2020-06-01,5610.490234375,0.14,0.66,97.83000183105469,28.229999542236328,1774.0
2020-06-02,5675.22998046875,0.15,0.68,97.66999816894531,26.84000015258789,178.0
2020-06-03,5783.06005859375,0.16,0.77,97.27999877929688,25.65999984741211,252.0
2020-06-04,5760.52001953125,0.15,0.82,96.68000030517578,25.809999465942383,139.0
2020-06-05,5915.47021484375,0.15,0.91,96.94000244140625,24.520000457763672,64.0
2020-06-08,5934.02978515625,0.17,0.88,96.62000274658203,25.809999465942383,0.0
2020-06-09,5915.0498046875,0.19,0.84,96.31999969482422,27.56999969482422,26.0
2020-06-10,5937.9599609375,0.17,0.75,95.95999908447266,27.56999969482422,10.0
2020-06-11,5577.6298828125,0.17,0.66,96.7300033569336,40.790000915527344,123.0
2020-06-12,5662.47021484375,0.16,0.71,97.31999969482422,36.09000015258789,288.0
2020-06-15,5729.97998046875,0.18,0.71,96.68000030517578,34.400001525878906,146.0
2020-06-16,5857.8701171875,0.17,0.75,96.95999908447266,33.66999816894531,1974.0
2020-06-17,5878.9501953125,0.17,0.74,97.16000366210938,33.470001220703125,40.0
2020-06-18,5888.18017578125,0.16,0.71,97.41999816894531,32.939998626708984,15.0
2020-06-19,5872.0498046875,0.15,0.70,97.62000274658203,35.119998931884766,200.0
2020-06-22,5922.39013671875,0.16,0.71,97.04000091552734,31.770000457763672,715.0
2020-06-23,5942.02001953125,0.16,0.72,96.69000244140625,31.3700008392334,526.0
2020-06-24,5808.33984375,0.15,0.69,97.1500015258789,33.84000015258789,745.0
2020-06-25,5864.10986328125,0.16,0.68,97.43000030517578,32.220001220703125,120.0
2020-06-26,5787.83984375,0.14,0.64,97.5,34.72999954223633,0.0
2020-06-29,5834.06005859375,0.14,0.64,97.54000091552734,31.780000686645508,830.0
2020-06-30,5960.27001953125,0.16,0.66,97.38999938964844,30.43000030517578,100.0
2020-07-01,5948.330078125,0.14,0.69,97.19999694824219,28.6200008392334,91.0
2020-07-02,5997.080078125,0.14,0.68,97.31999969482422,27.68000030517578,0.0
2020-07-06,6124.41015625,0.15,0.69,96.79000091552734,27.940000534057617,0.0
2020-07-07,6065.77978515625,0.15,0.65,96.87999725341797,29.43000030517578,0.0
2020-07-08,6145.35009765625,0.15,0.67,96.43000030517578,28.079999923706055,285.0
2020-07-09,6212.35009765625,0.13,0.62,96.69999694824219,29.260000228881836,140.0
2020-07-10,6204.60986328125,0.13,0.65,96.6500015258789,27.290000915527344,140.0
2020-07-13,6063.25,0.14,0.64,96.45999908447266,32.189998626708984,63.0
2020-07-14,6122.22021484375,0.15,0.63,96.26000213623047,29.520000457763672,420.0
2020-07-15,6136.14990234375,0.16,0.64,96.08000183105469,27.760000228881836,60.0
2020-07-16,6097.31982421875,0.11,0.62,96.3499984741211,28.0,30.0
2020-07-17,6146.18017578125,0.11,0.64,95.94000244140625,25.68000030517578,120.0
2020-07-20,6300.9599609375,0.13,0.62,95.83000183105469,24.459999084472656,22.0
2020-07-21,6251.93017578125,0.13,0.61,95.12000274658203,24.84000015258789,960.0
2020-07-22,6270.14013671875,0.13,0.60,94.97000122070312,24.31999969482422,0.0
2020-07-23,6160.9599609375,0.12,0.59,94.69000244140625,26.079999923706055,110.0
2020-07-24,6056.31005859375,0.11,0.59,94.44000244140625,25.84000015258789,0.0
